pclass,sex,age,sibsp,parch,fare,embarked,survived
3,female,24.5,0,2,24.66,S,1
3,male,18.6,0,2,2.59,Q,0
3,male,11.2,3,0,22.38,S,0
3,female,23.8,0,0,7.31,S,0
1,male,45.9,0,0,5.0,S,0
2,female,28.4,0,0,15.74,Q,1
2,male,33.9,1,1,5.0,S,1
2,male,28.9,0,0,12.47,S,1
1,male,38.3,0,0,7.28,C,1
1,male,28.4,0,0,253.58799999999934,S,0
1,female,28.4,0,1,34.55,Q,0
3,female,17.8,0,0,1.0,S,0
3,male,20.0,0,2,35.7,S,0
2,male,24.2,1,0,15.28,S,1
2,female,39.0,0,1,23.56,Q,1
3,male,14.5,0,1,1.0,S,1
3,male,25.9,0,2,13.21,S,0
3,male,46.8,1,2,1.0,S,0
3,female,25.0,0,2,17.99,S,1
1,male,54.3,0,0,30.75,C,0
2,male,28.4,0,2,5.0,S,0
3,female,31.4,0,0,8.75,S,0
1,female,28.4,2,1,135.35,C,1
3,male,19.6,3,2,8.59,S,1
3,male,11.7,0,1,31.91,S,0
3,female,28.4,2,0,4.19,C,0
1,female,28.4,0,1,165.65,C,1
3,female,28.4,5,0,5.3,Q,0
1,male,53.2,1,0,117.89,S,1
2,male,38.9,0,2,16.05,C,1
3,male,47.7,0,0,2.58,C,1
1,male,46.5,1,2,79.0,C,0
3,male,28.4,0,2,10.39,S,0
2,male,28.4,0,0,9.44,Q,0
1,female,41.1,0,1,158.51,S,1
3,male,26.9,0,1,20.18,S,0
1,male,48.0,1,1,64.63,S,0
1,female,45.3,2,0,7.68,S,1
3,female,33.0,3,0,17.18,S,0
3,female,30.5,1,1,10.33,C,0
1,female,60.2,0,0,5.41,C,0
3,male,21.6,1,5,1.0,Q,1
3,male,33.3,4,3,2.77,S,1
3,male,28.4,0,0,1.21,S,0
2,male,28.4,0,0,5.0,S,1
1,female,28.4,0,0,131.42,C,1
1,female,47.5,0,1,54.73,S,1
2,female,28.4,0,2,7.7,S,0
1,male,58.3,0,1,37.3,C,0
3,male,29.1,1,1,11.25,S,0
3,female,39.7,3,0,21.57,S,0
3,male,5.0,0,4,3.12,C,0
2,male,28.4,0,0,7.45,S,0
3,male,28.4,0,0,17.51,S,0
2,male,27.6,0,0,32.85,S,1
3,male,27.3,0,0,10.45,S,0
1,female,38.6,0,0,22.63,C,0
2,female,31.0,0,0,8.36,Q,1
1,female,28.4,0,0,24.06,C,0
1,male,45.2,1,0,22.52,C,0
3,female,36.4,0,2,11.29,S,0
3,female,14.4,0,0,1.0,S,0
3,male,17.9,2,1,37.56,S,1
1,male,37.8,0,0,76.03,C,1
1,female,42.5,0,0,71.9,S,0
3,female,28.4,0,3,28.64,S,0
1,male,68.0,1,1,128.52,S,0
3,male,42.7,1,1,3.63,S,0
3,male,43.3,2,0,9.55,S,0
3,male,2.1,0,0,19.19,S,0
2,male,47.2,0,1,25.56,S,1
2,female,30.0,0,1,5.0,S,0
3,male,16.4,0,0,5.0,S,0
3,male,16.5,2,3,18.25,S,0
3,male,26.8,0,0,2.81,S,0
3,male,28.4,1,0,46.34,S,1
3,male,45.1,1,0,1.35,S,1
3,female,16.0,0,0,15.85,S,0
2,female,38.9,2,0,27.48,S,0
2,male,40.7,0,0,58.26,S,1
2,female,18.1,2,0,48.29,Q,1
1,male,28.0,0,0,104.21,C,0
2,female,22.4,0,0,27.47,S,0
3,male,14.3,2,1,3.31,S,0
1,female,26.4,0,1,74.87,S,1
3,female,33.2,0,0,3.54,S,0
1,male,40.6,0,2,19.9,Q,1
2,female,15.6,0,0,10.42,S,0
3,male,22.9,2,2,1.34,S,0
2,male,31.7,1,1,7.7,S,0
1,female,49.1,0,0,169.04,C,1
3,female,18.7,0,0,3.32,Q,0
3,female,17.1,0,0,19.91,S,0
2,female,28.4,0,1,5.0,S,1
1,female,28.7,0,1,35.82,C,1
2,male,21.1,0,0,6.97,S,1
3,male,32.3,0,0,5.02,S,0
2,female,5.2,0,0,5.0,S,0
2,male,28.6,2,0,33.49,C,0
2,male,19.0,0,0,74.42,Q,1
3,female,48.3,0,0,14.27,S,0
3,female,40.9,0,0,1.87,S,0
2,male,24.9,0,1,5.0,C,0
3,male,12.7,1,0,1.12,S,1
3,female,28.1,0,0,7.62,S,0
3,male,28.4,0,0,4.2,S,1
3,male,28.4,1,0,4.28,S,0
3,male,1.6,1,1,4.27,S,0
2,female,11.7,1,0,5.0,S,0
1,male,45.0,0,0,42.0,S,0
3,male,20.5,0,4,18.56,S,0
2,female,15.0,0,0,41.15,S,0
3,female,22.8,2,3,6.48,Q,1
3,female,36.5,1,0,2.04,S,0
3,male,45.7,0,0,6.55,S,0
3,male,38.6,2,0,19.56,S,0
1,male,44.2,0,1,97.82,Q,0
2,male,23.5,0,0,7.11,Q,0
2,male,30.2,0,0,66.25,S,1
3,female,45.0,1,0,37.13,S,0
3,female,28.4,0,2,21.84,S,0
2,male,23.4,2,0,5.0,Q,1
2,male,15.7,0,0,38.04,S,0
1,male,28.4,0,1,199.42,C,0
3,male,35.0,1,4,1.0,S,0
3,female,20.3,0,1,1.0,S,0
3,male,23.7,2,0,7.01,C,0
1,female,30.2,0,1,41.12,C,1
3,male,52.4,0,0,3.01,S,1
3,female,16.9,0,0,3.27,C,0
2,female,13.9,0,0,48.6,S,0
1,male,28.4,1,2,6.25,S,0
3,male,18.2,0,0,2.28,C,0
3,male,30.2,0,0,13.32,C,0
3,male,37.7,0,0,11.11,S,1
3,female,32.7,1,0,1.0,C,0
2,female,23.2,1,0,48.94,Q,1
2,female,25.0,0,0,5.0,C,0
3,male,28.7,0,0,30.64,S,0
1,male,53.9,2,2,28.21,S,0
3,male,14.8,3,0,6.15,S,0
3,female,37.1,0,0,4.46,S,1
2,male,44.4,0,1,41.79,C,0
3,male,28.4,0,2,15.22,S,1
3,male,28.4,1,2,12.15,C,0
3,male,47.8,0,0,2.29,C,0
1,male,27.3,0,0,54.79,C,1
1,female,43.4,0,2,87.5,C,1
1,male,20.6,1,0,72.79,C,1
3,male,3.2,0,1,7.87,S,0
3,male,9.0,0,0,11.87,S,0
3,male,26.1,0,1,7.71,Q,0
3,female,26.3,0,3,14.96,S,0
1,male,28.4,0,1,148.91,S,1
1,male,49.9,0,1,7.68,C,1
3,female,30.0,2,0,2.73,S,0
3,male,36.4,0,0,6.43,S,0
1,male,21.2,2,0,16.38,S,1
3,male,16.2,0,2,1.0,S,0
3,male,22.0,0,1,18.43,S,0
2,male,42.2,3,2,5.0,S,1
3,female,59.4,2,1,12.56,S,1
3,male,19.9,0,1,21.02,S,0
2,female,31.9,0,1,16.65,C,0
1,male,64.6,0,1,128.7,Q,0
1,female,27.2,2,1,105.51,S,0
2,female,9.3,0,3,10.23,S,1
3,male,29.1,0,0,32.9,Q,0
3,female,32.7,0,2,15.3,S,1
2,male,32.1,0,0,5.0,Q,0
1,male,48.8,0,2,207.49,S,1
3,male,28.4,0,0,15.99,S,0
3,male,28.4,1,2,4.06,S,0
3,male,14.0,0,0,2.07,Q,0
3,female,27.6,0,0,2.47,S,1
3,male,28.4,2,0,10.85,S,1
1,female,37.0,0,1,141.64,C,1
1,male,31.4,0,0,165.05,S,1
1,male,28.4,0,0,80.3,S,1
2,female,40.5,0,0,69.12,S,1
3,male,5.4,0,4,12.3,S,0
2,male,25.1,0,0,8.22,C,0
3,female,2.1,0,1,11.81,Q,0
3,male,27.3,0,0,35.96,S,0
1,female,28.4,0,1,33.23,C,1
3,male,28.4,1,0,6.03,S,0
2,female,31.6,0,1,10.09,C,1
1,male,50.0,0,1,184.22,S,1
1,female,34.7,0,0,19.36,C,1
3,male,17.5,2,0,1.0,Q,0
3,female,28.4,1,0,6.62,S,0
2,female,28.4,1,1,5.0,Q,1
3,female,28.4,0,0,32.72,S,1
1,female,28.4,0,0,47.25,S,1
2,male,21.5,0,0,5.64,C,0
3,female,28.4,0,0,7.19,S,1
3,male,28.4,4,0,28.95,S,0
3,male,41.4,0,0,1.0,S,0
3,male,28.4,1,0,60.63,S,0
3,male,12.3,0,1,3.27,C,1
2,male,33.1,0,0,5.0,C,0
3,male,11.1,0,0,10.4,S,0
3,female,36.2,0,0,7.11,S,0
3,male,1.0,1,2,1.43,S,0
3,female,15.6,1,2,20.25,S,0
3,male,13.6,0,0,26.16,C,1
3,male,30.3,0,2,3.21,S,1
2,female,36.1,0,0,36.21,C,0
3,male,28.4,1,4,3.19,S,0
3,female,29.0,0,0,17.51,S,0
2,female,28.4,1,1,5.0,S,0
2,male,29.1,0,0,6.85,S,0
3,female,43.8,0,5,4.04,S,0
3,male,20.0,0,2,9.24,Q,0
3,male,28.4,0,0,4.52,S,0
1,female,27.4,0,1,5.0,S,0
3,female,14.7,2,0,6.9,S,0
1,male,28.4,0,0,5.0,S,0
3,male,28.4,0,3,13.56,S,0
3,male,11.8,1,0,12.65,C,1
1,female,28.4,0,1,5.0,C,1
1,female,28.4,0,0,167.95,C,1
3,male,27.6,0,0,10.29,S,0
2,female,25.2,0,2,29.71,S,0
3,male,34.4,1,0,5.57,S,0
3,male,45.8,1,1,13.34,S,1
2,male,28.2,0,0,34.22,S,1
2,female,20.8,0,0,26.77,C,1
1,female,51.5,2,0,162.28,C,1
3,male,45.4,0,0,27.39,Q,0
3,female,19.3,1,1,4.64,S,0
2,female,33.6,1,0,22.51,S,1
2,female,28.4,3,3,5.0,S,0
1,male,39.4,0,1,38.8,C,1
3,male,5.3,4,0,6.31,C,1
3,female,39.1,2,0,24.2,Q,1
3,male,28.4,1,0,9.11,S,0
2,male,52.5,0,2,16.1,S,1
3,female,30.1,0,3,34.0,S,0
2,male,27.9,0,0,6.94,Q,1
3,female,28.4,0,3,29.5,S,1
3,female,28.4,0,0,1.0,Q,0
3,male,24.4,2,0,1.44,S,0
3,male,17.8,0,0,14.89,Q,0
2,male,22.3,0,0,22.77,S,0
3,female,19.0,2,1,24.07,S,0
3,female,28.4,2,0,9.07,S,0
1,female,68.1,0,0,102.82,S,1
3,male,28.4,0,0,1.65,S,0
1,male,36.4,0,0,11.77,C,1
1,male,35.0,0,0,21.83,C,1
3,male,17.7,1,0,16.19,S,0
1,male,47.6,0,0,54.87,C,1
3,male,23.9,1,0,9.41,S,0
3,female,20.6,3,0,6.24,S,0
3,male,14.1,1,2,1.07,S,0
3,male,35.7,0,0,1.0,S,1
2,female,26.1,0,0,5.0,S,0
1,male,28.3,1,0,60.22,S,1
3,female,1.0,0,0,6.97,S,0
3,male,21.9,0,1,67.2,S,0
2,male,28.4,0,1,46.67,S,1
3,female,22.7,1,2,1.0,Q,0
3,female,14.7,0,0,1.0,S,0
3,male,28.4,0,0,1.0,S,0
3,male,29.9,1,0,1.84,Q,0
3,male,18.4,0,5,20.37,S,0
3,female,14.9,1,3,5.11,S,0
3,female,27.4,0,2,9.35,Q,1
1,male,51.7,0,0,228.8,C,0
3,male,30.5,0,0,9.11,S,0
2,female,20.6,0,0,10.79,S,0
2,male,16.3,0,0,15.27,S,0
3,male,28.4,0,0,4.5,S,0
1,male,67.7,0,0,22.98,C,1
3,male,14.4,2,0,5.47,S,0
1,male,30.9,0,0,34.48,C,1
3,male,20.3,0,0,9.31,Q,0
3,male,28.4,0,0,1.37,S,0
1,female,41.0,0,1,45.65,C,1
1,male,49.9,0,0,5.0,S,1
2,male,42.5,0,0,13.46,S,0
3,female,27.6,3,0,34.02,C,0
1,male,42.3,0,0,128.27,Q,1
1,male,28.4,0,0,43.25,S,0
1,female,28.4,0,0,11.78,S,0
3,female,34.1,2,0,1.38,Q,0
1,female,24.0,1,0,20.33,S,1
3,male,40.3,1,0,13.54,S,0
3,male,10.2,0,1,1.12,Q,0
3,female,23.6,1,0,6.17,S,1
2,female,33.6,0,0,24.9,S,1
1,female,48.5,0,0,52.29,C,0
1,male,35.9,0,0,83.91,S,0
1,male,34.6,0,0,44.3,C,1
3,male,29.0,0,1,1.85,C,0
3,male,31.9,1,0,7.05,S,0
1,female,28.4,0,0,94.92,S,1
3,male,30.4,0,0,8.75,S,0
2,female,28.2,0,0,22.73,S,0
3,female,37.7,2,4,3.79,S,0
1,male,28.4,1,3,43.27,S,1
2,female,12.7,0,0,5.0,Q,1
2,male,18.0,0,2,39.53,S,0
2,female,13.5,0,1,5.0,S,0
3,female,28.4,0,0,7.45,S,1
1,male,43.0,1,0,166.16,C,1
3,male,28.4,0,5,7.02,S,0
1,female,18.3,1,0,210.21,S,1
1,male,28.4,0,0,107.16,Q,0
3,male,3.2,1,0,1.0,S,0
1,male,28.4,1,3,158.46,C,1
3,female,2.6,0,0,3.02,C,0
1,male,31.2,0,2,5.0,S,1
2,male,20.4,0,0,7.64,S,0
3,female,25.9,0,2,2.55,S,1
3,male,33.0,3,0,2.58,S,0
1,male,44.6,0,0,84.31,C,1
2,female,28.4,0,2,5.0,S,0
3,female,18.5,1,0,5.7,Q,0
3,female,25.4,0,1,1.0,S,0
1,female,28.4,0,0,51.71,S,1
3,male,28.4,0,1,7.67,S,0
3,male,42.2,4,0,2.79,S,0
3,male,28.4,0,3,5.98,S,0
2,male,33.6,1,0,22.96,S,0
3,male,25.9,0,0,7.73,Q,0
3,female,37.7,0,0,8.65,S,0
3,male,28.0,1,1,12.09,S,0
2,male,25.5,0,0,23.2,S,0
1,male,46.8,0,2,5.0,S,1
3,female,18.6,0,0,3.7,S,1
3,male,13.7,0,4,5.71,S,0
1,male,28.4,0,2,62.45,S,1
1,male,28.4,0,1,72.67,S,1
2,female,30.3,0,0,25.25,S,1
2,female,36.4,1,0,21.85,C,1
3,male,28.4,1,0,5.26,Q,0
3,male,17.7,0,2,38.65,S,0
1,female,41.9,3,0,12.01,C,1
1,female,31.4,0,1,5.0,C,0
3,female,28.4,0,1,4.38,S,1
3,female,28.8,1,0,14.6,S,1
2,male,11.2,0,1,30.8,C,1
3,female,35.5,0,0,1.0,S,0
3,male,28.4,0,0,3.87,S,0
3,male,38.0,2,1,9.45,S,0
3,male,22.4,1,0,7.91,S,1
3,male,26.0,1,0,5.67,C,1
3,male,18.2,2,0,8.64,S,0
1,female,43.8,0,0,20.98,S,1
3,male,19.4,0,0,2.72,S,0
3,male,11.8,1,0,3.57,Q,1
1,male,21.0,0,0,7.49,S,1
2,female,14.6,0,1,5.0,S,1
3,male,18.0,0,0,2.8,S,0
3,male,30.4,4,1,12.92,C,0
1,female,9.6,1,0,25.41,C,0
1,female,44.5,0,0,72.56,C,1
3,female,28.4,0,0,1.0,S,0
3,female,47.2,0,0,15.14,Q,0
1,female,60.9,0,2,206.58,C,0
1,female,40.8,0,0,20.91,S,1
2,male,43.9,0,0,10.48,C,0
1,female,28.4,0,0,20.0,C,1
3,male,28.4,2,3,4.86,S,0
1,male,50.9,2,0,151.34,C,0
2,female,46.0,0,0,10.12,Q,1
3,female,28.4,1,1,2.03,S,0
3,female,36.3,0,0,11.47,S,0
3,female,32.2,0,0,5.96,Q,0
3,male,39.7,0,1,5.19,S,0
3,male,28.4,0,0,1.68,Q,1
1,female,55.7,0,2,230.68,S,0
1,female,42.8,0,0,23.86,S,1
3,male,35.0,1,0,1.99,S,0
1,female,24.9,1,2,73.94,C,1
1,male,18.7,0,0,6.91,S,1
2,female,28.4,1,3,5.0,S,0
1,male,46.8,1,2,50.4,C,0
3,male,30.1,0,3,10.19,S,1
3,male,38.6,0,0,3.27,Q,0
3,male,23.4,1,0,4.57,S,0
3,male,16.4,0,3,28.12,Q,0
1,female,26.5,0,0,19.93,C,1
3,male,31.7,0,0,7.85,C,0
3,male,15.7,1,0,26.69,S,0
3,male,18.0,0,0,5.65,S,1
1,male,28.4,0,0,15.54,C,1
3,male,9.8,0,0,11.43,S,0
3,female,4.2,1,0,1.7,S,0
3,female,20.9,1,0,12.66,S,0
2,female,3.6,0,0,32.72,S,0
2,male,14.7,1,1,8.53,S,0
3,male,41.7,0,2,8.72,S,1
2,female,35.6,0,0,5.15,S,0
3,male,28.4,2,0,2.99,S,0
1,male,58.3,0,2,59.67,C,1
1,female,43.8,1,3,53.47,S,1
3,male,28.4,0,0,3.22,S,0
2,female,33.6,0,0,52.04,S,0
3,female,41.3,1,0,2.09,C,0
3,female,39.4,0,0,5.86,Q,0
2,male,23.7,1,1,5.0,C,1
2,male,35.2,0,2,5.0,C,0
3,male,27.6,1,0,12.37,S,0
3,female,18.0,4,1,5.44,C,0
3,male,28.5,0,0,4.9,S,0
2,female,24.3,0,0,26.67,S,0
3,male,34.3,5,2,22.44,S,0
1,female,26.6,0,0,62.41,S,1
2,male,28.3,0,1,11.34,C,0
1,male,34.9,2,0,25.62,C,1
2,male,28.4,0,1,11.06,S,0
2,female,27.2,0,0,29.68,C,0
3,male,20.1,0,1,2.54,S,0
3,female,35.7,0,1,1.19,Q,0
3,male,13.7,0,0,1.39,S,0
3,male,28.4,4,3,4.93,Q,0
2,male,33.7,0,2,11.85,S,0
3,female,4.0,0,0,6.13,S,1
3,male,27.2,0,0,3.22,Q,0
1,female,32.4,0,2,249.25,C,0
2,male,28.4,0,0,36.33,Q,0
1,female,31.2,0,2,253.58799999999934,S,0
3,female,34.0,1,0,1.0,Q,0
3,male,28.4,0,1,37.49,C,0
3,male,26.6,2,0,1.0,S,0
2,male,14.6,0,2,5.0,C,0
1,male,17.7,0,1,172.19,S,1
3,female,1.0,2,0,9.99,S,0
3,male,39.6,1,0,3.95,S,0
3,male,40.6,0,2,4.05,S,0
1,male,38.3,0,0,21.28,C,0
1,female,40.6,0,1,71.37,C,1
3,male,28.4,2,3,2.37,S,1
3,male,24.2,1,0,7.14,C,0
2,female,30.1,0,3,17.69,S,0
1,male,27.8,1,0,93.28,S,1
3,male,24.3,5,1,1.0,C,1
1,male,42.4,0,1,40.37,C,1
2,male,28.8,1,0,5.0,S,1
3,male,22.8,0,0,1.44,Q,0
